id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40182247,3 bdrm; free internet in pilsen/southloop,306943744,Joe,,Lower West Side,41.85974,-87.65797,Entire home/apt,200,1,1,2020-02-17,0.14,8,365
45438479,English Lavender Room,258297883,Darkhan,,Humboldt Park,41.88866,-87.71965,Private room,44,1,0,,,3,1
39793384,ROWULA HOUSE - WARM AFRICAN HOSPITALITY IN CHICAGO,13784535,Omar,,South Chicago,41.73711,-87.54816,Private room,45,1,1,2020-08-31,1.0,1,357
35942729,Spacious Sedgwick Condo - Steps to Old Town,200416010,Saul,,Near North Side,41.91054,-87.63743,Entire home/apt,255,3,11,2020-09-07,1.09,6,342
1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,,Grand Boulevard,41.81266,-87.61586,Private room,55,2,123,2020-02-16,1.42,1,364
38870766,"Free parking, 2 blocks from train, 2 bedroom aprtm",59484991,Jady And,,South Lawndale,41.85177,-87.70175,Entire home/apt,67,1,43,2020-09-12,3.66,1,177
15257492,让你有如同回家的感觉,96810944,Lin & Peter,,Avondale,41.93574,-87.73037,Private room,30,1,26,2020-07-04,0.54,3,266
3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,Matthew,,Near West Side,41.8867,-87.64338,Entire home/apt,299,2,38,2020-02-16,0.78,2,361
41901706,"Loft apt, easy access to many Chicago hot spots!",94999642,Sarah,,Humboldt Park,41.89845,-87.70402,Entire home/apt,99,1,6,2020-09-05,0.83,1,1
4503332,Near The Loop and McCormick Place,20059524,(Email hidden by Airbnb),,Armour Square,41.85586,-87.63569,Entire home/apt,100,1,86,2020-03-15,1.33,3,0
9825135,Alewyfe Farm Urban Garden Oasis- free parking!,50604047,Carla,,North Lawndale,41.85687,-87.6949,Entire home/apt,59,9,105,2020-07-01,1.97,1,10
36700170,Floral Staycation🌻,46771116,Vladimir,,Humboldt Park,41.90217,-87.71075,Entire home/apt,151,2,41,2020-09-07,2.92,4,82
40668669,Charming Suite Close to the California Blue line!,65595672,Mackenzie,,Logan Square,41.92419,-87.69849,Entire home/apt,54,3,15,2020-09-20,1.7,1,0
40312719,Relaxing Lincoln Park Getaway Condo,43297766,Lindsay,,Lincoln Park,41.92218,-87.64453,Entire home/apt,78,45,1,2019-12-31,0.11,1,140
42324385,Comfy Private Room at University of Chicago,336504529,Don,,Woodlawn,41.78436,-87.6052,Private room,55,1,13,2020-08-30,1.88,7,9
30396840,"Cozy Gold Coast 1BR w/ Gym, Pool, walk to Mag Mile by Blueground",107434423,Blueground,,Near North Side,41.8989,-87.62797,Entire home/apt,139,30,0,,,205,301
39226339,4B|2.5B Chicago Townhome,18670260,Ken,,Lake View,41.94042,-87.67297,Entire home/apt,484,2,3,2019-12-08,0.28,1,0
40964912,"Bright Loop 1BR w/ Gym, Roofdeck, nr. Financial District, by Blueground",107434423,Blueground,,Loop,41.87711,-87.63385,Entire home/apt,112,30,0,,,205,360
32964420,Old Town Beauty w/ Perfect Location,18751679,Seamus,,Near North Side,41.91028,-87.63683,Entire home/apt,140,2,3,2019-11-11,0.24,1,0
16749331,Cozy Unique Large Private Room Lincoln Square,26790353,Jill K,,Lincoln Square,41.9681,-87.69026,Private room,43,2,32,2020-02-09,0.82,1,342
29053143,"Sunny, Cozy, Colorful  Andersonville",218940261,Lida,,Uptown,41.97397,-87.67147,Entire home/apt,91,1,71,2020-09-13,3.19,1,129
35327978,Dreamy Streeterville Convertible w/ Gym + Pool by Blueground,107434423,Blueground,,Near North Side,41.89063,-87.61903,Entire home/apt,144,30,0,,,205,323
41266450,Mindful Pad - 5 minutes away from Midway,256520638,Mateusz,,Clearing,41.77503,-87.79175,Entire home/apt,79,2,3,2020-04-21,0.4,1,77
22730148,"Modern, Spacious, New apt. Private entrance.",145776020,Levi,,West Ridge,42.0038,-87.69745,Entire home/apt,58,2,65,2020-03-07,2.04,1,89
41910293,"Hip Loop 1BR w/ Gym, Pool, W/D, nr. Financial District, by Blueground",107434423,Blueground,,Loop,41.88608,-87.63422,Entire home/apt,112,30,0,,,205,365
29919180,R2 Lincoln Park Historic Landmark 1 Bedroom,23612069,Tj,,Lincoln Park,41.92914,-87.64067,Entire home/apt,82,1,109,2020-09-13,4.86,15,87
45268016,Luxury West Loop 3 bd 2 ba condo overlooking park,1521888,Megan,,Near West Side,41.87973,-87.64831,Entire home/apt,150,30,0,,,1,260
6460914,Cozy cottage in Chicago - dog friendly.,8759336,Patrice,,West Ridge,42.00663,-87.68544,Entire home/apt,82,5,28,2019-12-29,0.44,1,0
39646102,Live like a local in Logan Square - Close to train,87601336,Jon,,Logan Square,41.92669,-87.69391,Private room,35,1,13,2020-03-16,1.2,6,0
40397617,Sonder | 1BR + Balcony Near Grant Park,12243051,Sonder,,Near South Side,41.86246,-87.62487,Entire home/apt,171,4,20,2020-06-30,2.25,47,168
30740972,CASTLE IN THE SKY - 10 Minutes to ALL FUN!,45284138,Kenny,,Lake View,41.93647,-87.6496,Private room,80,3,31,2020-07-26,1.68,2,89
