id,room_type,price,number_of_reviews,reviews_per_month,availability_365
40182247,Entire home/apt,200,1,0.14,365
45438479,Private room,44,0,,1
39793384,Private room,45,1,1.0,357
35942729,Entire home/apt,255,11,1.09,342
1468342,Private room,55,123,1.42,364
38870766,Entire home/apt,67,43,3.66,177
15257492,Private room,30,26,0.54,266
3308694,Entire home/apt,299,38,0.78,361
41901706,Entire home/apt,99,6,0.83,1
4503332,Entire home/apt,100,86,1.33,0
9825135,Entire home/apt,59,105,1.97,10
36700170,Entire home/apt,151,41,2.92,82
40668669,Entire home/apt,54,15,1.7,0
40312719,Entire home/apt,78,1,0.11,140
42324385,Private room,55,13,1.88,9
30396840,Entire home/apt,139,0,,301
39226339,Entire home/apt,484,3,0.28,0
40964912,Entire home/apt,112,0,,360
32964420,Entire home/apt,140,3,0.24,0
16749331,Private room,43,32,0.82,342
29053143,Entire home/apt,91,71,3.19,129
35327978,Entire home/apt,144,0,,323
41266450,Entire home/apt,79,3,0.4,77
22730148,Entire home/apt,58,65,2.04,89
41910293,Entire home/apt,112,0,,365
29919180,Entire home/apt,82,109,4.86,87
45268016,Entire home/apt,150,0,,260
6460914,Entire home/apt,82,28,0.44,0
39646102,Private room,35,13,1.2,0
40397617,Entire home/apt,171,20,2.25,168
30740972,Private room,80,31,1.68,89
7810018,Entire home/apt,86,405,6.59,325
38595025,Entire home/apt,140,1,0.11,323
9115645,Entire home/apt,95,88,1.71,119
43938783,Private room,59,0,,90
41114355,Entire home/apt,120,4,0.63,166
41724109,Entire home/apt,69,29,3.87,106
221109,Entire home/apt,99,112,1.03,0
7070958,Entire home/apt,149,3,0.07,38
30023762,Entire home/apt,55,73,3.25,344
33409131,Private room,29,2,0.15,229
25826424,Entire home/apt,509,38,1.37,170
18509024,Entire home/apt,111,125,3.05,170
39551455,Private room,595,0,,72
31472302,Entire home/apt,142,6,0.37,0
6419072,Entire home/apt,69,8,0.18,0
6716705,Entire home/apt,233,32,0.53,343
27426067,Entire home/apt,115,55,2.12,326
34537370,Entire home/apt,80,44,2.65,348
17920957,Entire home/apt,72,150,3.71,109
28948832,Private room,35,5,0.28,303
41659636,Entire home/apt,200,0,,89
40680627,Entire home/apt,155,0,,365
3088192,Entire home/apt,150,394,5.18,320
38449270,Private room,48,0,,179
36814026,Private room,23,7,0.5,122
15115673,Private room,63,154,3.25,179
14531526,Entire home/apt,282,111,2.25,180
28405971,Entire home/apt,75,76,3.09,67
929914,Entire home/apt,115,311,3.42,254
18151380,Entire home/apt,550,38,0.92,0
21647029,Entire home/apt,198,118,3.41,84
166667,Entire home/apt,125,88,0.79,365
20757313,Entire home/apt,379,48,1.31,90
13940726,Entire home/apt,250,0,,324
22152280,Entire home/apt,40,46,1.38,42
39116213,Entire home/apt,76,33,3.49,89
39929071,Private room,55,1,0.11,84
34977420,Entire home/apt,59,44,2.78,140
42323017,Entire home/apt,99,4,1.46,100
44180208,Entire home/apt,200,0,,263
15957773,Hotel room,31,12,0.3,330
26707623,Entire home/apt,179,16,0.88,56
38839516,Entire home/apt,78,14,1.18,357
19730133,Private room,59,141,3.63,81
13414718,Entire home/apt,128,135,2.59,0
2570620,Entire home/apt,45,552,7.16,147
1755737,Entire home/apt,155,0,,363
3811926,Private room,34,413,5.54,360
40610780,Private room,30,5,0.52,174
29385780,Private room,71,24,1.08,78
31443658,Entire home/apt,90,17,0.84,167
42395555,Entire home/apt,129,0,,351
37380402,Entire home/apt,89,1,0.11,227
10634388,Entire home/apt,250,4,0.09,365
25244851,Entire home/apt,94,37,1.38,0
44536657,Entire home/apt,70,1,0.91,120
17892626,Private room,78,38,1.24,65
41399603,Private room,40,0,,365
20641086,Private room,75,29,0.81,0
34913110,Entire home/apt,399,6,0.41,355
43815872,Entire home/apt,166,4,1.64,340
21252535,Private room,44,146,4.07,11
14883494,Entire home/apt,195,26,0.53,117
38541721,Entire home/apt,125,1,0.16,365
16616242,Entire home/apt,155,0,,364
40068740,Private room,25,20,1.93,158
24965357,Entire home/apt,159,65,2.28,87
42951283,Entire home/apt,144,0,,0
31209122,Entire home/apt,110,10,0.61,4
